,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time,cluster
5076,1712707313.816831,4,,,,,,,,0,0.0002641677856445,,0
5077,1712707313.816831,4,,,,,,,,0,0.0,,0
5078,1712707313.817996,4,,,,,,,,0,0.0011649131774902,,0
5079,1712707313.81827,4,,,,,,,,0,0.0002739429473876,,0
5080,1712707313.81827,4,,,,,,,,0,0.0,,0
5081,1712707313.819493,4,,,,,,,,0,0.001223087310791,,0
5082,1712707313.819725,4,,,,,,,,0,0.0002319812774658,,0
5083,1712707313.819726,4,,,,,,,,0,9.5367431640625e-07,,0
5084,1712707313.820901,4,,,,,,,,0,0.0011749267578125,,0
5085,1712707313.820993,4,,,,,,,,0,9.202957153320312e-05,,0
5086,1712707313.821254,4,,,,,,,,0,0.0002610683441162,,0
5087,1712707313.910285,4,,,,,,,,0,0.0890309810638427,,0
5088,1712707313.910358,4,,,,,,,,0,7.295608520507812e-05,,0
5089,1712707313.910416,4,,,,,,,,0,5.793571472167969e-05,,0
5090,1712707313.911591,4,,,,,,,,0,0.0011751651763916,,0
5091,1712707313.91172,4,,,,,,,,0,0.0001289844512939,,0
5092,1712707313.911897,4,,,,,,,,0,0.0001769065856933,,0
5093,1712707313.913172,4,,,,,,,,0,0.0012750625610351,,0
5094,1712707313.913174,4,,,,,,,,0,1.9073486328125e-06,,0
5095,1712707314.527069,4,,,,,,,,0,0.6138951778411865,,0
5096,1712707315.036207,4,,,,,,,,0,0.5091378688812256,,0
5097,1712707315.036225,4,,,,,,,,0,1.811981201171875e-05,,0
5098,1712707315.036226,4,,,,,,,,0,9.5367431640625e-07,,0
5099,1712707315.036547,4,,,,,,,,0,0.0003209114074707,,0
5100,1712707315.036549,4,,,,,,,,0,2.1457672119140625e-06,,0
5101,1712707315.036748,4,,,,,,,,0,0.0001988410949707,,0
5102,1712707315.036827,4,,,,,,,,0,7.915496826171875e-05,,0
5103,1712707315.037144,4,,,,,,,,0,0.0003168582916259,,0
5104,1712707315.037413,4,,,,,,,,0,0.0002689361572265,,0
5105,1712707315.037414,4,,,,,,,,0,1.1920928955078125e-06,,0
5106,1712707315.037532,4,,,,,,,,0,0.0001180171966552,,0
5107,1712707315.037956,4,,,,,,,,0,0.0004239082336425,,0
5108,1712707315.037957,4,,,,,,,,0,9.5367431640625e-07,,0
5109,1712707315.03833,4,,,,,,,,0,0.0003731250762939,,0
5110,1712707315.038613,4,,,,,,,,0,0.0002830028533935,,0
5111,1712707315.038614,4,,,,,,,,0,9.5367431640625e-07,,0
5112,1712707315.039032,4,,,,,,,,0,0.000417947769165,,0
5113,1712707315.039036,4,,,,,,,,0,4.0531158447265625e-06,,0
5114,1712707315.039363,4,,,,,,,,0,0.0003268718719482,,0
5115,1712707315.039364,4,,,,,,,,0,1.1920928955078125e-06,,0
5116,1712707315.039587,4,,,,,,,,0,0.0002229213714599,,0
5117,1712707315.039729,4,,,,,,,,0,0.0001420974731445,,0
5118,1712707315.039854,4,,,,,,,,0,0.0001249313354492,,0
5119,1712707315.04024,4,,,,,,,,0,0.0003859996795654,,0
5120,1712707315.040241,4,,,,,,,,0,9.5367431640625e-07,,0
5121,1712707315.040487,4,,,,,,,,0,0.0002460479736328,,0
5122,1712707315.040615,4,,,,,,,,0,0.0001280307769775,,0
5123,1712707315.040734,4,,,,,,,,0,0.0001189708709716,,0
5124,1712707315.041106,4,,,,,,,,0,0.0003719329833984,,0
5125,1712707315.041107,4,,,,,,,,0,9.5367431640625e-07,,0
5126,1712707315.041497,4,,,,,,,,0,0.0003900527954101,,0
5127,1712707315.041498,4,,,,,,,,0,9.5367431640625e-07,,0
5128,1712707315.04173,4,,,,,,,,0,0.0002319812774658,,0
5129,1712707315.041867,4,,,,,,,,0,0.0001370906829833,,0
5130,1712707315.041982,4,,,,,,,,0,0.0001149177551269,,0
5131,1712707315.042379,4,,,,,,,,0,0.0003969669342041,,0
5132,1712707315.04238,4,,,,,,,,0,1.1920928955078125e-06,,0
5133,1712707315.043202,3,fe80::82ab:4dff:febf:19e1,ff02::1,,,136.0,,,0,0.000821828842163,,0
5134,1712707315.043204,4,,,,,,,,0,2.1457672119140625e-06,,0
5135,1712707315.043204,4,,,,,,,,0,0.0,,0
5136,1712707315.043311,4,,,,,,,,0,0.0001070499420166,,0
5137,1712707315.343464,4,,,,,,,,0,0.3001527786254883,,0
5138,1712707315.343484,4,,,,,,,,0,2.002716064453125e-05,,0
5139,1712707315.343485,4,,,,,,,,0,1.1920928955078125e-06,,0
5140,1712707315.343571,4,,,,,,,,0,8.58306884765625e-05,,0
5141,1712707315.343725,4,,,,,,,,0,0.0001540184020996,,0
5142,1712707315.343961,4,,,,,,,,0,0.0002360343933105,,0
5143,1712707315.344038,4,,,,,,,,0,7.700920104980469e-05,,0
5144,1712707315.34432,4,,,,,,,,0,0.0002820491790771,,0
5145,1712707315.344653,4,,,,,,,,0,0.0003328323364257,,0
5146,1712707315.344654,4,,,,,,,,0,1.1920928955078125e-06,,0
5147,1712707315.650747,4,,,,,,,,0,0.3060929775238037,,0
5148,1712707315.650828,2,192.168.1.76,224.0.0.251,5353.0,5353.0,160.0,132.0,_companion-link._tcp.local.,0,8.082389831542969e-05,3.054271936416626,1
5149,1712707315.651197,2,fe80::181a:22f2:afe6:9b57,ff02::fb,5353.0,5353.0,140.0,132.0,_companion-link._tcp.local.,0,0.0003690719604492,3.054261922836304,1
5150,1712707316.264991,4,,,,,,,,0,0.6137940883636475,,0
5151,1712707316.265003,4,,,,,,,,0,1.1920928955078123e-05,,0
5152,1712707316.265066,4,,,,,,,,0,6.29425048828125e-05,,0
5153,1712707316.572367,4,,,,,,,,0,0.3073010444641113,,0
5154,1712707316.70986,3,fe80::813:7ec4:1375:15d9,fe80::181a:22f2:afe6:9b57,,,32.0,,,0,0.1374931335449218,4.81070613861084,0
5155,1712707316.748749,3,fe80::181a:22f2:afe6:9b57,fe80::813:7ec4:1375:15d9,,,24.0,,,0,0.038888931274414,4.849980115890503,0
5156,1712707317.494032,4,,,,,,,,0,0.7452828884124756,,0
5157,1712707317.753047,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,57139.0,443.0,1234.0,1226.0,,0,0.2590150833129883,4.839997053146362,2
5158,1712707317.753237,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,57139.0,443.0,373.0,365.0,,0,0.0001900196075439,0.0001900196075439,1
5159,1712707317.764688,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,57139.0,35.0,27.0,,0,0.0114510059356689,4.844718933105469,1
5160,1712707317.787925,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,57139.0,32.0,24.0,,0,0.0232369899749755,0.0232369899749755,1
5161,1712707317.792478,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,57139.0,443.0,40.0,32.0,,0,0.0045530796051025,0.039241075515747,1
5162,1712707317.901071,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,57139.0,204.0,196.0,,0,0.1085929870605468,0.1131460666656494,1
5163,1712707317.901738,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,57139.0,443.0,43.0,35.0,,0,0.000666856765747,0.1092598438262939,1
5164,1712707317.933063,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,57139.0,32.0,24.0,,0,0.0313251018524169,0.031991958618164,1
5165,1712707318.02223,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,16399.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,0.0891668796539306,5.356366872787476,1
5166,1712707318.02237,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,30347.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,0.0001401901245117,0.0001401901245117,1
5167,1712707318.022378,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,11589.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,7.867813110351562e-06,7.867813110351562e-06,1
5168,1712707318.030166,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,16399.0,110.0,102.0,spclient.wg.spotify.com.,1,0.0077879428863525,0.0971028804779052,1
5169,1712707318.030178,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,30347.0,98.0,90.0,spclient.wg.spotify.com.,1,1.2159347534179688e-05,1.2159347534179688e-05,1
5170,1712707318.030982,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,11589.0,147.0,139.0,spclient.wg.spotify.com.,1,0.0008039474487304,0.0008039474487304,1
5171,1712707318.03239,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,0.0014081001281738,9.115140199661257,2
5172,1712707318.044109,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,1238.0,1230.0,,0,0.0117189884185791,0.0131270885467529,2
5173,1712707318.045527,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,177.0,169.0,,0,0.0014178752899169,0.013136863708496,1
5174,1712707318.047605,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1234.0,1226.0,,0,0.0020780563354492,0.0020780563354492,2
5175,1712707318.047685,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,7.987022399902344e-05,7.987022399902344e-05,2
5176,1712707318.047721,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,3.600120544433594e-05,3.600120544433594e-05,2
5177,1712707318.047755,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,748.0,740.0,,0,3.409385681152344e-05,3.409385681152344e-05,2
5178,1712707318.053058,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,526.0,518.0,,0,0.0053029060363769,0.008948802947998,1
5179,1712707318.053065,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,129.0,121.0,,0,7.152557373046875e-06,7.152557373046875e-06,1
5180,1712707318.053626,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,40.0,32.0,,0,0.0005609989166259,0.0058710575103759,1
5181,1712707318.054019,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,35.0,27.0,,0,0.0003929138183593,0.0009539127349853,1
5182,1712707318.084315,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,40.0,32.0,,0,0.0302960872650146,0.030689001083374,1
5183,1712707318.126267,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,178.0,170.0,,0,0.0419518947601318,0.0722479820251464,1
5184,1712707318.127287,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,43.0,35.0,,0,0.0010199546813964,0.0429718494415283,1
