,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
3596,1712707155.501185,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,953.0,945.0,,0,2.5987625122070312e-05,2.5987625122070312e-05
3607,1712707155.535173,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0028209686279296875,0.033987998962402344
3612,1712707155.553143,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0002579689025878906,0.01797008514404297
3618,1712707155.579348,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0013780593872070312,0.026205062866210938
3619,1712707155.57935,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,1.9073486328125e-06,1.9073486328125e-06
3653,1712707162.094755,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.032457828521728516,6.515404939651489
3655,1712707162.135437,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.03012394905090332,0.040682077407836914
3657,1712707162.136905,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,42.0,34.0,,0,0.0003609657287597656,0.0014679431915283203
3659,1712707162.16235,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,46.0,38.0,,0,0.0007419586181640625,0.025444984436035156
3660,1712707162.176605,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.014255046844482422,0.014255046844482422
3661,1712707162.176676,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,977.0,969.0,,0,7.104873657226562e-05,7.104873657226562e-05
3664,1712707162.210167,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0026140213012695312,0.033490896224975586
3667,1712707162.258983,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0002868175506591797,0.04881596565246582
3669,1712707162.288895,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,0.00023984909057617188,0.02991199493408203
3671,1712707162.292849,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,42.0,34.0,,0,0.0001990795135498047,0.003954172134399414
3770,1712707172.241236,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65027.0,443.0,20.0,0.0,,0,0.043612003326416016,9.948386907577515
3776,1712707173.185283,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65028.0,443.0,20.0,0.0,,0,0.06583285331726074,0.9440469741821289
3821,1712707185.751113,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.007879018783569336,12.565829992294312
3822,1712707185.751164,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,950.0,942.0,,0,5.1021575927734375e-05,5.1021575927734375e-05
3823,1712707185.751517,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.00035309791564941406,0.00035309791564941406
3826,1712707185.759375,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,0.00020813941955566406,0.007858037948608398
3833,1712707185.82816,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0004429817199707031,0.06878495216369629
3834,1712707185.828222,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,6.198883056640625e-05,6.198883056640625e-05
3835,1712707185.829525,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.001302957534790039,0.001302957534790039
3843,1712707185.858613,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,1238.0,1230.0,,0,0.0003581047058105469,0.02908802032470703
3845,1712707185.869896,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,174.0,166.0,,0,0.0005388259887695312,0.011282920837402344
3846,1712707185.870001,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,1234.0,1226.0,,0,0.00010514259338378906,0.00010514259338378906
3847,1712707185.870017,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,1238.0,1230.0,,0,1.5974044799804688e-05,1.5974044799804688e-05
3848,1712707185.870024,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,101.0,93.0,,0,6.9141387939453125e-06,6.9141387939453125e-06
3852,1712707185.875562,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,39.0,31.0,,0,0.000164031982421875,0.005537986755371094
3853,1712707185.905657,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,40.0,32.0,,0,0.03009510040283203,0.03009510040283203
