,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
54,1713821926.681184,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59266.0,53.0,49.0,41.0,clienttoken.spotify.com.,1,5.1021575927734375e-05,5.1021575927734375e-05
55,1713821926.681233,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60903.0,53.0,49.0,41.0,clienttoken.spotify.com.,1,4.887580871582031e-05,4.887580871582031e-05
56,1713821926.681276,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,56099.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,4.315376281738281e-05,4.315376281738281e-05
57,1713821926.681331,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59273.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,5.4836273193359375e-05,5.4836273193359375e-05
58,1713821926.68139,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60518.0,53.0,49.0,41.0,spclient.wg.spotify.com.,1,5.91278076171875e-05,5.91278076171875e-05
59,1713821926.681434,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60504.0,53.0,49.0,41.0,api-partner.spotify.com.,1,4.38690185546875e-05,4.38690185546875e-05
60,1713821926.681479,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60599.0,53.0,49.0,41.0,api-partner.spotify.com.,1,4.506111145019531e-05,4.506111145019531e-05
61,1713821926.681524,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,63638.0,53.0,49.0,41.0,api-partner.spotify.com.,1,4.506111145019531e-05,4.506111145019531e-05
62,1713821926.681564,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,55348.0,53.0,41.0,33.0,api.spotify.com.,1,4.00543212890625e-05,4.00543212890625e-05
63,1713821926.681607,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,53944.0,53.0,41.0,33.0,api.spotify.com.,1,4.291534423828125e-05,4.291534423828125e-05
64,1713821926.681655,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,58685.0,53.0,41.0,33.0,api.spotify.com.,1,4.792213439941406e-05,4.792213439941406e-05
65,1713821926.681703,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60148.0,53.0,43.0,35.0,daily-mix.scdn.co.,0,4.8160552978515625e-05,4.8160552978515625e-05
66,1713821926.681748,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60245.0,53.0,43.0,35.0,daily-mix.scdn.co.,0,4.482269287109375e-05,4.482269287109375e-05
67,1713821926.6818,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,64772.0,53.0,43.0,35.0,daily-mix.scdn.co.,0,5.1975250244140625e-05,5.1975250244140625e-05
68,1713821926.682043,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,52866.0,53.0,44.0,36.0,exp.wg.spotify.com.,1,0.00024318695068359375,0.00024318695068359375
69,1713821926.682108,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,51777.0,53.0,44.0,36.0,exp.wg.spotify.com.,1,6.4849853515625e-05,6.4849853515625e-05
70,1713821926.682159,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,53547.0,53.0,44.0,36.0,exp.wg.spotify.com.,1,5.1021575927734375e-05,5.1021575927734375e-05
71,1713821926.682306,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,61146.0,53.0,35.0,27.0,i.scdn.co.,0,0.00014710426330566406,0.00014710426330566406
72,1713821926.682354,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,62529.0,53.0,35.0,27.0,i.scdn.co.,0,4.792213439941406e-05,4.792213439941406e-05
73,1713821926.682418,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,51674.0,53.0,35.0,27.0,i.scdn.co.,0,6.413459777832031e-05,6.413459777832031e-05
74,1713821926.682557,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59014.0,53.0,47.0,39.0,lineup-images.scdn.co.,0,0.00013899803161621094,0.00013899803161621094
75,1713821926.682612,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,63122.0,53.0,47.0,39.0,lineup-images.scdn.co.,0,5.4836273193359375e-05,5.4836273193359375e-05
76,1713821926.682656,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,57918.0,53.0,47.0,39.0,lineup-images.scdn.co.,0,4.410743713378906e-05,4.410743713378906e-05
77,1713821926.682772,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,60424.0,53.0,40.0,32.0,mosaic.scdn.co.,0,0.00011587142944335938,0.00011587142944335938
78,1713821926.682823,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59441.0,53.0,40.0,32.0,mosaic.scdn.co.,0,5.1021575927734375e-05,5.1021575927734375e-05
79,1713821926.682863,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,51036.0,53.0,40.0,32.0,mosaic.scdn.co.,0,4.00543212890625e-05,4.00543212890625e-05
80,1713821926.683017,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,62855.0,53.0,45.0,37.0,open.spotifycdn.com.,1,0.00015401840209960938,0.00015401840209960938
81,1713821926.683059,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,61333.0,53.0,45.0,37.0,open.spotifycdn.com.,1,4.1961669921875e-05,4.1961669921875e-05
82,1713821926.683094,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,54160.0,53.0,45.0,37.0,open.spotifycdn.com.,1,3.504753112792969e-05,3.504753112792969e-05
